ID,Lieu,Latitude,Longitude,X,Y,Type,Arrondissement,Zone active
4VA29,Rue du Port / rue de la Commune,45.50163,-73.5539,300587.823192536,5040191.21393814,Intersection,Ville-Marie,x
4VA30,Rue McGill / Place d'Youville,45.4999,-73.55605,300419.670862313,5039999.07325011,Intersection,Ville-Marie,x
4VA31,Rue de la Commune / Place d'Youville,45.50016,-73.5532,300642.418596904,5040027.81570714,Intersection,Ville-Marie,x
4VA32,Rue McGill / rue Wellington,45.4993,-73.55481,300516.531845853,5039932.32812682,Intersection,Ville-Marie,x
4VA33,Rue McGill /rue de la Commune,45.49863,-73.55273,300679.037500652,5039857.76194355,Intersection,Ville-Marie,x
4VA34,Rue Queen /rue de la Commune,45.49669,-73.55309,300650.760250784,5039642.18752128,Intersection,Ville-Marie,x
4VA35,Rue Saint-Denis / rue Saint-Antoine,45.511,-73.55463,300531.4833825,5041232.54579701,Intersection,Ville-Marie,x
4VA36,Rue Saint-Antoine / rue Saint-Urbain,45.50566,-73.55841,300235.701413126,5040639.31625794,Intersection,Ville-Marie,x
4VA37,Rue Saint-Antoine / rue Saint-François-Xavier,45.50468,-73.55924,300170.762885595,5040530.45583343,Intersection,Ville-Marie,x
4VA38,Rue Notre-Dame / boul. Saint-Laurent,45.50608,-73.55562,300453.751076325,5040685.83633428,Intersection,Ville-Marie,x
5CA07,Rue City Councillors / Avenue du Président-Kennedy,45.50615,-73.57094,299256.625026576,5040694.55860768,Intersection,Ville-Marie,x
5CA15,Rue Peel / Avenue du Docteur Penfield,45.50346,-73.57949,298588.217325792,5040396.24312294,Intersection,Ville-Marie,x
5CA16,Avenue des Pins / Rue McTavish,45.50524,-73.58113,298460.258567596,5040594.18357812,Intersection,Ville-Marie,x
5CA17,Avenue du Docteur-Penfield / Rue McTavish,45.50395,-73.57855,298661.727308546,5040450.62480786,Intersection,Ville-Marie,x
5CA18,Rue Peel / Avenue des Pins,45.50463,-73.58198,298393.767832473,5040526.46139544,Intersection,Ville-Marie,x
5CA19,Rue Sherbrooke O / Rue McTavish,45.50267,-73.5756,298892.120537682,5040308.15657103,Intersection,Ville-Marie,x
5CA20,Rue Saint-Urbain / rue de la Gauchetière O,45.50689,-73.56096,300036.541991392,5040776.15490756,Intersection,Ville-Marie,x
5CA21,Rue Amherst / rue Sainte-Catherine E,45.51741,-73.55723,300328.839931883,5041945.03512639,Intersection,Ville-Marie,x
5CA22,Rue Alexandre-De-Sève / rue Sainte-Catherine E,45.52113,-73.5538,300597.089618857,5042358.25649417,Intersection,Ville-Marie,x
5CA23,Avenue Papineau / rue Sainte-Catherine E,45.52273,-73.55235,300710.481002871,5042535.99100476,Intersection,Ville-Marie,x
5CA24,Avenue Papineau / Rue Logan,45.52394,-73.5551,300495.746584516,5042670.60311328,Intersection,Ville-Marie,x
5CA25,Avenue Papineau / rue Ontario E,45.52578,-73.55957,300146.714751537,5042875.33333305,Intersection,Ville-Marie,x
5CA26,Rue Panet / rue Ontario E,45.52297,-73.56118,300020.712354766,5042563.15004066,Intersection,Ville-Marie,x
5CA27,Rue Amherst / rue Ontario E,45.52032,-73.56294,299882.993030762,5042268.75953092,Intersection,Ville-Marie,x
5CA29,Rue Sanguinet / avenue Viger E,45.5105,-73.55662,300375.955504426,5041177.08816389,Intersection,Ville-Marie,x
5CA31,Avenue Viger E / rue Berri (à venir),45.51237,-73.55493,300508.147002756,5041384.81079192,Intersection,Ville-Marie,
5CA32,Rue Saint-Denis / rue de la Gauchetière E,45.51223,-73.55702,300344.837709707,5041369.36630936,Intersection,Ville-Marie,x
5CA33,Rue Beaudry / rue Sainte-Catherine E,45.51893,-73.55584,300437.552748867,5042113.87747522,Intersection,Ville-Marie,x
5CA34,Côte du Beaver Hall / rue de la Gauchetière O,45.50216,-73.56447,299761.846186209,5040250.72169343,Intersection,Ville-Marie,x
5JA01,Avenue du Parc / avenue des Pins,45.5118,-73.57812,298696.17804919,5041322.9671444,Intersection,Le Plateau-Mont-Royal,x
5JA02,Avenue du Parc / chemin Olmsted,45.51194,-73.5795,298588.368639161,5041338.63124281,Intersection,Ville-Marie,x
5JA03,Avenue du Parc / avenue Duluth,45.51336,-73.58232,298368.19327816,5041496.6587804,Intersection,Ville-Marie,x
5JA04,Avenue du Parc / rue Rachel,45.5146,-73.58484,298171.446810774,5041634.66575922,Intersection,Ville-Marie,x
5JA05,Avenue du Parc / chemin de la Côte-Sainte-Catherine,45.51615,-73.58826,297904.43135921,5041807.20636015,Intersection,Ville-Marie,x
5JA06,Avenue du Parc / avenue du Mont-Royal O,45.51677,-73.58895,297850.59942322,5041876.16690525,Intersection,Le Plateau-Mont-Royal,x
5PA01,Boul. Robert-Bourassa / rue Sherbrooke O,45.50499,-73.57325,299076.0,5040565.80919789,Intersection,Ville-Marie,x
5PA02,Place Phillips / rue Sainte-Catherine,45.50402,-73.56888,299417.39402305,5040457.71046767,Intersection,Ville-Marie,x
5PA03,Boul. Robert-Bourassa / boul. René-Lévesque O,45.50199,-73.56707,299558.647539073,5040231.99587353,Intersection,Ville-Marie,x
5PA04,Rue Mansfield / boul. René-Lévesque O,45.50008,-73.56924,299388.884519376,5040019.88058949,Intersection,Ville-Marie,x
5PA05,Rue Peel / boul. René-Lévesque O,45.49845,-73.57029,299306.668376617,5039838.80927179,Intersection,Ville-Marie,x
5PA06,Rue de la Montagne / boul. René-Lévesque O,45.49645,-73.57219,299157.979104603,5039616.68018751,Intersection,Ville-Marie,x
5PA07,Rue Guy / boul. René-Lévesque O,45.49371,-73.57512,298928.699769583,5039312.39301662,Intersection,Ville-Marie,x
5PA08,Rue Guy / rue Sainte-Catherine,45.4951,-73.57765,298731.106933512,5039467.05217615,Intersection,Ville-Marie,x
5PA09,Rue Crescent / rue Sainte-Catherine,45.49707,-73.57561,298890.753313154,5039685.82689574,Intersection,Ville-Marie,x
5PA10,Rue Peel / rue Sainte-Catherine,45.50011,-73.57298,299096.606038572,5040023.4732358,Intersection,Ville-Marie,x
5PA11,Avenue McGill College / rue Sainte-Catherine,45.50208,-73.57101,299250.755254479,5040242.26225063,Intersection,Ville-Marie,x
5PA12,Boul. Robert-Bourassa / boul. de Maisonneuve O,45.50394,-73.57163,299202.488210021,5040449.007984,Intersection,Ville-Marie,x
5PA13,Rue Peel / boul.de Maisonneuve O,45.50081,-73.57485,298950.537846136,5040101.39901486,Intersection,Ville-Marie,x
5PA14,Rue Crescent / boul. de Maisonneuve O,45.49806,-73.57766,298730.643355159,5039795.99881542,Intersection,Ville-Marie,x
5PA15,Rue Guy / boul. de Maisonneuve O,45.49587,-73.57939,298595.198271676,5039552.75545862,Intersection,Ville-Marie,x
5PA16,Rue Guy / rue Sherbrooke O,45.49662,-73.58189,298399.893332128,5039636.29935708,Intersection,Ville-Marie,x
5PA17,Rue Crescent / rue Sherbrooke O,45.49883,-73.57936,298597.867907656,5039881.6990701,Intersection,Ville-Marie,x
5PA18,Rue Peel / rue Sherbrooke O,45.50188,-73.57679,298799.042212642,5040220.45170487,Intersection,Ville-Marie,x
5PA19,Rue Drummond / rue Sainte-Catherine,45.49867,-73.57413,299006.585755482,5039863.52772175,Intersection,Ville-Marie,x
5PA20,Côte du Beaver Hall / boul. René-Lévesque O,45.50307,-73.56614,299631.423531866,5040351.95653358,Intersection,Ville-Marie,x
5PA21,Rue Drummond / rue Sherbrooke O,45.50045,-73.57779,298720.740672885,5040061.61034542,Intersection,Ville-Marie,x
5SA01,Rue Saint-Urbain / Rue de Montigny,45.50953,-73.56635,299615.605897536,5041069.87346232,Intersection,Ville-Marie,x
5SA02,Rue Saint-Urbain / boul. de Maisonneuve O,45.50968,-73.56721,299548.421973432,5041086.59892726,Intersection,Ville-Marie,x
5SA03,Rue Jeanne-Mance / boul. de Maisonneuve O,45.50829,-73.56839,299456.088954344,5040932.20521314,Intersection,Ville-Marie,x
5SA04,Boul. Saint-Laurent / Rue Saint-Norbert,45.5119,-73.56798,299488.465413521,5041333.35959251,Intersection,Ville-Marie,x
5SA05,Boul. Saint-Laurent / rue Ontario O,45.51132,-73.56665,299592.329855048,5041268.8167111,Intersection,Ville-Marie,x
5SA06,Boul. Saint-Laurent / boul. de Maisonneuve O,45.51071,-73.56543,299687.598823241,5041200.94863384,Intersection,Ville-Marie,x
5SA07,Rue de Boisbriand / rue de Bullion,45.51162,-73.56295,299881.453951634,5041301.92265715,Intersection,Ville-Marie,x
5SA08,Rue Saint-Dominique / Rue de Boisbriand,45.51097,-73.56389,299807.950369215,5041229.74572837,Intersection,Ville-Marie,x
5SA09,Boul. Saint-Laurent / Place du Marché,45.50929,-73.56208,299949.230537445,5041042.93535948,Intersection,Ville-Marie,x
5SA10,Rue de Bleury / rue Sherbrooke O,45.50839,-73.57113,299241.998545289,5040943.50422654,Intersection,Ville-Marie,x
5SA11,Rue Jeanne-Mance / rue Sherbrooke O,45.50924,-73.57097,299254.584194162,5041037.95418176,Intersection,Le Plateau-Mont-Royal,x
5SA12,Rue Saint-Urbain / rue Sherbrooke O,45.51107,-73.5702,299314.927793927,5041241.27036263,Intersection,Le Plateau-Mont-Royal,x
5SA13,Avenue de l'Hôtel-de-ville / rue Sherbrooke E,45.5146,-73.56837,299458.248674022,5041633.43832788,Intersection,Ville-Marie,x
5SA14,Rue Berri / rue Sherbrooke E,45.51804,-73.56678,299582.793340599,5042015.62358829,Intersection,Ville-Marie,x
5SA15,Rue Saint-Hubert / rue Ontario E,45.51783,-73.56441,299767.931551222,5041992.13488438,Intersection,Ville-Marie,x
5SA16,Avenue de l'Hôtel-de-ville / rue Ontario E,45.51342,-73.56617,299630.026732431,5041502.16011734,Intersection,Ville-Marie,x
5SA17,Boul. de Maisonneuve E,45.51234,-73.56371,299822.135454359,5041381.98356197,Intersection,Ville-Marie,x
5SA18,Rue Saint-Denis / rue Émery,45.51503,-73.56318,299863.781209558,5041680.89243435,Intersection,Ville-Marie,x
5SA19,Rue Saint-Denis / boul. René-Lévesque E,45.51286,-73.55829,300245.659199093,5041439.44987104,Intersection,Ville-Marie,x
5SA20,Avenue de l'Hotel-de-Ville / Boul. René-Lévesque E,45.51074,-73.56023,300093.905556222,5041203.96470639,Intersection,Ville-Marie,x
5SA21,Boul. Saint-Laurent / boul. René-Lévesque,45.50901,-73.56168,299980.461599203,5041011.79470795,Intersection,Ville-Marie,x
5SA22,Rue Jeanne-Mance / boul. René Lévesque O,45.50618,-73.56428,299777.051673518,5040697.45446423,Intersection,Ville-Marie,x
5SA23,Rue Saint-Alexandre / Rue Saint-Catherine,45.50526,-73.56771,299508.939466528,5040595.43458115,Intersection,Ville-Marie,x
5SA24,Rue Saint-Alexandre / boul. René- Lévesque O,45.50424,-73.56525,299701.079091843,5040481.92234269,Intersection,Ville-Marie,x
5SA25,Rue Berri / rue Ontario E,45.51671,-73.56432,299774.863164301,5041867.66278542,Intersection,Ville-Marie,x
5SD01,Rue Saint-Hubert / rue Sainte-Catherine E,45.51557,-73.55893,300195.875414443,5041740.65059094,Intersection,Ville-Marie,x
5SD02,Rue Berri / rue Sainte-Catherine E,45.51454,-73.55988,300121.5677988,5041626.24084393,Intersection,Ville-Marie,x
5SD03,Rue Saint-Denis / rue Sainte-Catherine E,45.51379,-73.56032,300087.127940614,5041542.91853724,Intersection,Ville-Marie,x
5SD04,Rue Sanguinet / rue Sainte-Catherine E,45.51289,-73.56131,300009.70173156,5041442.95948478,Intersection,Ville-Marie,x
5SD05,Avenue de l'Hôtel-de-Ville / rue Sainte-Catherine E,45.51163,-73.56218,299941.618123103,5041302.98709653,Intersection,Ville-Marie,x
5SD06,Boul. Saint-Laurent / rue Sainte-Catherine E,45.50982,-73.56397,299801.59777367,5041101.95047188,Intersection,Ville-Marie,x
5SD07,Rue Sainte-Catherine / rue de Bleury,45.50629,-73.56677,299582.489009565,5040709.83755378,Intersection,Ville-Marie,x
5SD08,Rue de Bleury / boul. de Maisonneuve O,45.50709,-73.56885,299420.030803601,5040798.87922124,Intersection,Ville-Marie,x
5SD09,Rue de Bleury / boul. René-Lévesque O,45.50513,-73.56478,299737.886717193,5040580.79878229,Intersection,Ville-Marie,x
5SD10,Boul. Saint-Laurent / rue Sherbrooke O,45.51244,-73.56962,299360.378030172,5041393.47992379,Intersection,Le Plateau-Mont-Royal,x
5SD11,Rue Saint-Denis / rue Ontario E,45.51591,-73.56511,299713.070654366,5041778.80792056,Intersection,Ville-Marie,x
5SD12,Rue Saint-Denis / boul. de Maisonneuve E,45.51441,-73.5621,299948.107739555,5041611.92557271,Intersection,Ville-Marie,x
5SD14,Rue Berri / boul. de Maisonneuve E,45.51545,-73.56114,300023.200824882,5041727.44397779,Intersection,Ville-Marie,x
5SD15,Rue Saint-Hubert / boul. de Maisonneuve E,45.51607,-73.5605,300073.255208116,5041796.30716951,Intersection,Ville-Marie,x
5SD16,Rue Berger / rue Sainte-Catherine E,45.51077,-73.56315,299865.752844905,5041207.47387043,Intersection,Ville-Marie,x
5SD18,Rue Sanguinet / rue Ontario E,45.51478,-73.56553,299680.154328502,5041653.25688158,Intersection,Ville-Marie,x
5SD19,Rue Saint-Denis / rue Sherbrooke,45.51679,-73.56764,299515.488591303,5041876.76635257,Intersection,Le Plateau-Mont-Royal,x
5SD20,Avenue Coloniale / rue Sherbrooke,45.51345,-73.56888,299418.292740536,5041505.67206305,Intersection,Le Plateau-Mont-Royal,x
6CA01,Rue Peel / rue Saint-Antoine,45.49675,-73.56676,299582.38931778,5039649.65228648,Intersection,Ville-Marie,x
6CA02,Avenue des Canadiens-de-Montréal / rue Peel,45.49791,-73.56857,299441.039266364,5039778.68267844,Intersection,Ville-Marie,x
6CA03,Avenue des Canadiens-de-Montréal / rue de la Montagne (à venir),45.49589,-73.57105,299247.020944939,5039554.36775581,Intersection,Ville-Marie,
6CA04,Rue de la Montagne / rue Saint-Antoine,45.49504,-73.56933,299381.367630068,5039459.78951238,Intersection,Ville-Marie,x
6IA01,Boul. Robert-Bourassa / rue Saint-Antoine,45.4996,-73.56375,299817.886435771,5039966.18283335,Intersection,Ville-Marie,x
6IA02,Boul. Robert-Bourassa / rue Saint-Jacques,45.49928,-73.56255,299911.639706212,5039930.54737484,Intersection,Ville-Marie,x
6IA03,Rue Duke / rue Notre-Dame O (à venir),45.49861,-73.56133,300006.927377931,5039856.01648228,Intersection,Ville-Marie,
6IA04,Rue Duke / rue William,45.49736,-73.55888,300198.298378969,5039716.96022877,Intersection,Ville-Marie,x
6IA05,Rue Duke / rue Ottawa (à venir),45.49692,-73.55714,300334.251384374,5039667.96466452,Intersection,Ville-Marie,x
6IA06,Rue Duke / rue Wellington (à venir),45.49618,-73.55578,300440.484415303,5039585.65349174,Intersection,Ville-Marie,x
6IA07,Rue Nazareth / rue de la Commune O,45.49463,-73.55302,300656.080001718,5039413.25538922,Intersection,Ville-Marie,x
6IA08,Rue Peel / rue Saint-Jacques,45.49606,-73.56527,299698.7775849,5039572.87664299,Intersection,Ville-Marie,x
6IA09,Rue de la Montagne / rue Saint-Jacques,45.49419,-73.56752,299522.752606823,5039365.20824525,Intersection,Ville-Marie,x
6IA10,Rue de la Commune / rue Smith,45.49289,-73.55627,300401.932119662,5039220.0614233,Intersection,Le Sud-Ouest,x
6IA11,Rue Ottawa / rue William,45.48913,-73.565,299719.256543724,5038802.72663265,Intersection,Le Sud-Ouest,x
6IA12,Rue Guy / rue Notre-Dame,45.49014,-73.56704,299559.893020378,5038915.09919205,Intersection,Le Sud-Ouest,x
6IA13,Rue Guy / rue Saint-Jacques,45.49142,-73.57016,299316.145912516,5039057.55414016,Intersection,Le Sud-Ouest,x
6IA14,Rue Guy / rue Saint-Antoine,45.49254,-73.57251,299132.577273671,5039182.18313803,Intersection,Le Sud-Ouest,x
6IA15,Rue Saint-Antoine / rue Richmond,45.49175,-73.5734,299062.934161649,5039094.45338505,Intersection,Le Sud-Ouest,x
6IA16,Rue Richmond / rue Saint-Jacques,45.49069,-73.57081,299265.269037784,5038976.47362348,Intersection,Le Sud-Ouest,x
6IA17,Rue des Seigneurs / rue Saint-Jacques,45.48902,-73.57201,299171.306951426,5038790.96949773,Intersection,Le Sud-Ouest,x
6IA18,Rue des Seigneurs / rue Notre-Dame O,45.4878,-73.56907,299400.996780953,5038655.18888522,Intersection,Le Sud-Ouest,x
6IA19,Rue des Seigneurs / rue William,45.48694,-73.56752,299522.075507998,5038559.51393986,Intersection,Le Sud-Ouest,x
6IA20,Rue Dominion / rue Sainte-Cunégonde,45.49221,-73.56296,299878.981946075,5039144.88082888,Intersection,Le Sud-Ouest,x
6IA21,Boul. Georges-Vanier / rue Notre-Dame O,45.48495,-73.57162,299201.388305678,5038338.64242164,Intersection,Le Sud-Ouest,x
6IA22,Boul. Georges-Vanier / rue Saint-Jacques,45.48687,-73.57418,299001.467365967,5038552.19388503,Intersection,Le Sud-Ouest,x
6IA23,Rue Vinet / rue Saint-Jacques,45.48541,-73.57673,298801.982981924,5038390.13103762,Intersection,Le Sud-Ouest,x
6IA24,Rue Vinet / rue Workman,45.48386,-73.57484,298949.564655205,5038217.73998435,Intersection,Le Sud-Ouest,x
6IA25,Rue Saint-Cunegonde / rue Vinet,45.48222,-73.57315,299081.510387991,5038035.36495879,Intersection,Le Sud-Ouest,x
6IA26,Avenue Atwater / rue Saint-Jacques,45.48381,-73.57975,298565.731811831,5038212.55269978,Intersection,Le Sud-Ouest,x
6IA27,Rue Notre-Dame O / rue Saint-Henri,45.4774,-73.58503,298152.226500583,5037500.63227153,Intersection,Le Sud-Ouest,x
6IA28,Rue Notre-Dame O / rue Bourget (à venir),45.47936,-73.58155,298424.519180012,5037718.16510601,Intersection,Le Sud-Ouest,
6IA29,Rue Charlevoix / rue Rufus-Rockhead,45.48094,-73.5738,299030.566100575,5037893.16492802,Intersection,Le Sud-Ouest,x
6IA30,Rue du Couvent / rue Saint-Jacques,45.47834,-73.5852,298139.046397138,5037605.10854882,Intersection,Le Sud-Ouest,x
6IA31,Rue Quesnel / rue Canning,45.48811,-73.57433,298989.869585277,5038690.00615504,Intersection,Le Sud-Ouest,x
6IA32,Avenue Greene / rue Saint-Jacques,45.4827,-73.58124,298449.129861391,5038089.31496587,Intersection,Le Sud-Ouest,x
6IA33,Avenue Atwater / rue Lionel-Groulx,45.48301,-73.57927,298603.166974088,5038123.61148345,Intersection,Le Sud-Ouest,x
6IA34,Rue du Bassin / rue du Séminaire,45.49046,-73.56049,300071.893250642,5038950.2545429,Intersection,Le Sud-Ouest,x
6IA36,Rue Dalhousie / rue Ottawa (à venir),45.49571,-73.55821,300250.528627337,5039533.55696432,Intersection,Le Sud-Ouest,
6IA37,Rue Wellington / rue de la Montagne,45.49165,-73.55855,300223.626705702,5039082.38721552,Intersection,Le Sud-Ouest,x
6IA38,Rue Brennan / rue Prince,45.49614,-73.55293,300663.224752207,5039581.05756978,Intersection,Ville-Marie,x
6IA39,Boul. Robert-Bourassa / rue de la Gauchetière,45.50057,-73.56522,299703.092278759,5040074.0715756,Intersection,Ville-Marie,x
6IA40,Rue Mansfield / rue de la Gauchetière,45.49899,-73.56688,299573.217992099,5039898.59216482,Intersection,Ville-Marie,x
6IA42,Rue Saint-Antoine / rue Mansfield,45.49836,-73.56525,299700.548304886,5039828.47524474,Intersection,Ville-Marie,x
6IA43,Rue Saint-Antoine / rue Agnes,45.48021,-73.58724,297979.784385248,5037813.09281762,Intersection,Le Sud-Ouest,x
6IA44,Rue Duvernay / rue Vinet,45.48283,-73.57356,299049.520760761,5038103.1835743,Intersection,Le Sud-Ouest,x
6SA01,Rue Peel / rue Ottawa,45.49392,-73.55933,300162.846797151,5039334.69770552,Intersection,Le Sud-Ouest,x
6SA02,Rue Peel / rue William,45.49466,-73.56128,300010.500141971,5039417.04854731,Intersection,Le Sud-Ouest,x
6SA03,Rue Peel / rue Notre-Dame O,45.49534,-73.56323,299858.152231872,5039492.73527843,Intersection,Ville-Marie,x
6SA04,Rue de la Montagne / rue Notre-Dame O,45.49281,-73.56476,299738.345851296,5039211.67082984,Intersection,Le Sud-Ouest,x
6WA01,Rue Charles-Biddle (à venir),45.47904,-73.57509,298929.520968272,5037682.11127655,Intersection,Le Sud-Ouest,
6WA03,Avenue Atwater / rue Duvernay,45.48063,-73.57745,298745.188268562,5037858.9831525,Intersection,Le Sud-Ouest,x
6WA04,Avenue Atwater / rue Notre-Dame O,45.48113,-73.57789,298710.844230649,5037914.58142982,Intersection,Le Sud-Ouest,x
6WA05,Rue Saint-Ambroise / avenue Greene (à venir),45.4787,-73.57623,298840.360794463,5037644.41098207,Intersection,Le Sud-Ouest,
VBB001,Bibliothèque Benny,45.46612,-73.63097,294558.5253891,5036251.91416508,Bibliothèque,Côte-des-Neiges-Notre-Dame-de-Grâce,x
VBB002,Bibliothèque d'Ahuntsic,45.55347,-73.66299,292074.353546806,5045963.75236521,Bibliothèque,Ahuntsic-Cartierville,x
VBB003,Bibliothèque de Belleville,45.58195,-73.6422,293703.16773672,5049125.69838825,Bibliothèque,Montréal-Nord,x
VBB004,Bibliothèque de Cartierville,45.52721,-73.71309,288154.987496646,5043054.61166033,Bibliothèque,Ahuntsic-Cartierville,x
VBB005,Bibliothèque de Côte-des-Neiges,45.49606,-73.62212,295255.626228805,5039578.05865027,Bibliothèque,Côte-des-Neiges-Notre-Dame-de-Grâce,x
BB3031,Bibliothèque Jean-Corbeil,45.60296,-73.5584,300244.351238949,5051452.4101303,Bibliothèque,Anjou,x
VBB007,Bibliothèque de la Maison culturelle et communautaire,45.6163,-73.62067,295389.044007968,5052940.34232385,Bibliothèque,Montréal-Nord,x
VBB008,Bibliothèque de La Petite-Patrie,45.54743,-73.59804,297144.585334545,5045284.27197176,Bibliothèque,Rosemont-La Petite-Patrie,x
VBB009,Bibliothèque de L'Île-Bizard,45.48856,-73.88224,274921.80383124,5038808.3991307,Bibliothèque,L'Île-Bizard-Sainte-Geneviève,x
VBB010,Bibliothèque de l'Île-des-Surs,45.45707,-73.54744,301089.735832335,5035238.94133538,Bibliothèque,Verdun,x
VBB011,Bibliothèque de Mercier,45.59537,-73.52388,302936.925321223,5050607.53390536,Bibliothèque,Mercier-Hochelaga-Maisonneuve,x
VBB012,Bibliothèque de Notre-Dame-de-Grâce,45.47555,-73.61458,295841.669895821,5037297.91105357,Bibliothèque,Côte-des-Neiges-Notre-Dame-de-Grâce,x
VBB013,Bibliothèque de Parc-Extension,45.53138,-73.62886,294735.154733319,5043504.01775605,Bibliothèque,Villeray-Saint-Michel-Parc-Extension,x
BB3101,Bibliothèque de Pierrefonds,45.49523,-73.8471,277671.761174042,5039537.17091633,Bibliothèque,Pierrefonds-Roxboro,x
VBB015,Bibliothèque de Pointe-aux-Trembles,45.66804,-73.4949,305197.37894786,5058683.30487815,Bibliothèque,Rivière-des-Prairies-Pointe-aux-Trembles,x
VBB016,Bibliothèque de Roxboro,45.50278,-73.81437,280233.117594078,5040365.67405496,Bibliothèque,Pierrefonds-Roxboro,x
